"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-20,1089,4.913295,42,6,1041,3.856749,0.550964,0.05669217554271435,1764,320150,0.5669217554271435,0.0031235358425737935
2020-05-19,1038,0.581395,42,6,990,4.046243,0.578035,0.05403717007652663,1851,320150,0.5403717007652663,0.0031235358425737935
2020-05-18,1032,4.242424,38,4,990,3.682171,0.387597,0.05372481649226925,1861,480225,0.5372481649226925,0.002082357228382529
2020-05-17,990,2.167183,26,4,960,2.626263,0.40404,0.051538341402467595,1940,480225,0.5153834140246759,0.002082357228382529
2020-05-16,969,6.133625,26,4,939,2.683179,0.412797,0.050445103857566766,1982,480225,0.5044510385756676,0.002082357228382529
2020-05-15,913,0,26,3,884,2.847755,0.328587,0.04752980373783122,2104,640300,0.4752980373783122,0.0015617679212868967
2020-05-14,913,9.210526,26,3,884,2.847755,0.328587,0.04752980373783122,2104,640300,0.4752980373783122,0.0015617679212868967
2020-05-13,836,1.95122,26,3,807,3.110048,0.358852,0.043521266073194856,2298,640300,0.43521266073194853,0.0015617679212868967
2020-05-12,820,7.752957,26,3,791,3.170732,0.365854,0.04268832318184185,2343,640300,0.4268832318184184,0.0015617679212868967
2020-05-11,761,4.820937,26,3,732,3.416557,0.394218,0.039616846269977614,2524,640300,0.3961684626997761,0.0015617679212868967
2020-05-10,726,13.26053,26,3,697,3.581267,0.413223,0.0377947836951429,2646,640300,0.377947836951429,0.0015617679212868967
2020-05-09,641,7.912458,25,3,613,3.900156,0.468019,0.03336977458483003,2997,640300,0.33369774584830025,0.0015617679212868967
2020-05-08,594,5.319149,25,2,567,4.208754,0.3367,0.030923004841480556,3234,960450,0.30923004841480556,0.0010411786141912645
2020-05-07,564,18.736842,25,2,537,4.432624,0.35461,0.02936123692019366,3406,960450,0.29361236920193656,0.0010411786141912645
2020-05-06,475,15.012107,24,2,449,5.052632,0.421053,0.024727992087042534,4044,960450,0.2472799208704253,0.0010411786141912645
2020-05-05,413,0,19,1,393,4.600484,0.242131,0.021500338383049614,4651,1920900,0.2150033838304961,0.0005205893070956322
2020-05-04,413,60.700389,19,1,393,4.600484,0.242131,0.021500338383049614,4651,1920900,0.2150033838304961,0.0005205893070956322
2020-05-03,257,0,19,1,237,7.392996,0.389105,0.01337914519235775,7474,1920900,0.13379145192357747,0.0005205893070956322
2020-05-02,257,0,19,1,237,7.392996,0.389105,0.01337914519235775,7474,1920900,0.13379145192357747,0.0005205893070956322
2020-05-01,257,25.365854,19,1,237,7.392996,0.389105,0.01337914519235775,7474,1920900,0.13379145192357747,0.0005205893070956322
2020-04-30,205,0,19,1,185,9.268293,0.487805,0.010672080795460462,9370,1920900,0.1067208079546046,0.0005205893070956322
2020-04-29,205,180.821918,19,1,185,9.268293,0.487805,0.010672080795460462,9370,1920900,0.1067208079546046,0.0005205893070956322
2020-04-28,73,0,18,1,54,24.657534,1.369863,0.0038003019417981155,26314,1920900,0.038003019417981156,0.0005205893070956322
2020-04-27,73,37.735849,18,1,54,24.657534,1.369863,0.0038003019417981155,26314,1920900,0.038003019417981156,0.0005205893070956322
2020-04-26,53,1.923077,3,1,49,5.660377,1.886792,0.002759123327606851,36243,1920900,0.027591233276068508,0.0005205893070956322
2020-04-25,52,0,3,0,49,5.769231,0,0.0027070643968972875,36940,,0.027070643968972876,0
2020-04-24,52,4,3,0,49,5.769231,0,0.0027070643968972875,36940,,0.027070643968972876,0
2020-04-23,50,0,3,0,47,6,0,0.0026029465354781615,38418,,0.026029465354781612,0
2020-04-22,50,0,3,0,47,6,0,0.0026029465354781615,38418,,0.026029465354781612,0
2020-04-21,50,0,3,0,47,6,0,0.0026029465354781615,38418,,0.026029465354781612,0
2020-04-20,50,0,3,0,47,6,0,0.0026029465354781615,38418,,0.026029465354781612,0
2020-04-19,50,8.695652,3,0,47,6,0,0.0026029465354781615,38418,,0.026029465354781612,0
2020-04-18,46,6.976744,0,0,46,0,0,0.0023947108126399085,41759,,0.023947108126399084,0
2020-04-17,43,0,0,0,43,0,0,0.0022385340205112185,44672,,0.022385340205112184,0
2020-04-16,43,0,0,0,43,0,0,0.0022385340205112185,44672,,0.022385340205112184,0
2020-04-15,43,13.157895,0,0,43,0,0,0.0022385340205112185,44672,,0.022385340205112184,0
2020-04-14,38,0,0,0,38,0,0,0.0019782393669634025,50550,,0.019782393669634024,0
2020-04-13,38,0,0,0,38,0,0,0.0019782393669634025,50550,,0.019782393669634024,0
2020-04-12,38,0,0,0,38,0,0,0.0019782393669634025,50550,,0.019782393669634024,0
2020-04-11,38,5.555556,0,0,38,0,0,0.0019782393669634025,50550,,0.019782393669634024,0
2020-04-10,36,0,0,0,36,0,0,0.0018741215055442762,53358,,0.01874121505544276,0
2020-04-09,36,9.090909,0,0,36,0,0,0.0018741215055442762,53358,,0.01874121505544276,0
2020-04-08,33,0,0,0,33,0,0,0.0017179447134155865,58209,,0.017179447134155864,0
2020-04-07,33,83.333333,0,0,33,0,0,0.0017179447134155865,58209,,0.017179447134155864,0
2020-04-06,18,0,0,0,18,0,0,0.0009370607527721381,106717,,0.00937060752772138,0
2020-04-05,18,0,0,0,18,0,0,0.0009370607527721381,106717,,0.00937060752772138,0
2020-04-04,18,20,0,0,18,0,0,0.0009370607527721381,106717,,0.00937060752772138,0
2020-04-03,15,66.666667,0,0,15,0,0,0.0007808839606434484,128060,,0.007808839606434483,0
2020-04-02,9,0,0,0,9,0,0,0.00046853037638606906,213433,,0.00468530376386069,0
2020-04-01,9,12.5,0,0,9,0,0,0.00046853037638606906,213433,,0.00468530376386069,0
2020-03-31,8,0,0,0,8,0,0,0.0004164714456765058,240113,,0.004164714456765058,0
2020-03-30,8,300,0,0,8,0,0,0.0004164714456765058,240113,,0.004164714456765058,0
2020-03-29,2,0,0,0,2,0,0,0.00010411786141912645,960450,,0.0010411786141912645,0
2020-03-28,2,0,0,0,2,0,0,0.00010411786141912645,960450,,0.0010411786141912645,0
2020-03-27,2,0,0,0,2,0,0,0.00010411786141912645,960450,,0.0010411786141912645,0
2020-03-26,2,0,0,0,2,0,0,0.00010411786141912645,960450,,0.0010411786141912645,0
2020-03-25,2,,0,0,2,0,0,0.00010411786141912645,960450,,0.0010411786141912645,0

