"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-08,120,62.162162,2,0,118,1.666667,0,0.0010847849865757858,92184,,0.010847849865757857,0
2020-05-07,74,27.586207,0,0,74,0,0,0.0006689507417217346,149488,,0.006689507417217346,0
2020-05-06,58,11.538462,0,0,58,0,0,0.0005243127435116298,190726,,0.005243127435116298,0
2020-05-05,52,13.043478,0,0,52,0,0,0.00047007349418284053,212733,,0.004700734941828405,0
2020-05-04,46,0,0,0,46,0,0,0.0004158342448540512,240480,,0.004158342448540512,0
2020-05-03,46,2.222222,0,0,46,0,0,0.0004158342448540512,240480,,0.004158342448540512,0
2020-05-02,45,0,0,0,45,0,0,0.0004067943699659197,245824,,0.004067943699659197,0
2020-05-01,45,28.571429,0,0,45,0,0,0.0004067943699659197,245824,,0.004067943699659197,0
2020-04-30,35,2.941176,0,0,35,0,0,0.0003163956210846042,316060,,0.003163956210846042,0
2020-04-29,34,0,0,0,34,0,0,0.00030735574619647265,325356,,0.0030735574619647262,0
2020-04-28,34,466.666667,0,0,34,0,0,0.00030735574619647265,325356,,0.0030735574619647262,0
2020-04-27,6,0,0,0,6,0,0,5.423924932878929e-05,1843683,,0.0005423924932878929,0
2020-04-26,6,20,0,0,6,0,0,5.423924932878929e-05,1843683,,0.0005423924932878929,0
2020-04-25,5,0,0,0,5,0,0,4.519937444065774e-05,2212420,,0.0004519937444065774,0
2020-04-24,5,0,0,0,5,0,0,4.519937444065774e-05,2212420,,0.0004519937444065774,0
2020-04-23,5,25,0,0,5,0,0,4.519937444065774e-05,2212420,,0.0004519937444065774,0
2020-04-22,4,0,0,0,4,0,0,3.6159499552526194e-05,2765525,,0.0003615949955252619,0
2020-04-21,4,0,0,0,4,0,0,3.6159499552526194e-05,2765525,,0.0003615949955252619,0
2020-04-20,4,0,0,0,4,0,0,3.6159499552526194e-05,2765525,,0.0003615949955252619,0
2020-04-19,4,0,0,0,4,0,0,3.6159499552526194e-05,2765525,,0.0003615949955252619,0
2020-04-18,4,0,0,0,4,0,0,3.6159499552526194e-05,2765525,,0.0003615949955252619,0
2020-04-17,4,0,0,0,4,0,0,3.6159499552526194e-05,2765525,,0.0003615949955252619,0
2020-04-16,4,0,0,0,4,0,0,3.6159499552526194e-05,2765525,,0.0003615949955252619,0
2020-04-15,4,0,0,0,4,0,0,3.6159499552526194e-05,2765525,,0.0003615949955252619,0
2020-04-14,4,0,0,0,4,0,0,3.6159499552526194e-05,2765525,,0.0003615949955252619,0
2020-04-13,4,0,0,0,4,0,0,3.6159499552526194e-05,2765525,,0.0003615949955252619,0
2020-04-12,4,0,0,0,4,0,0,3.6159499552526194e-05,2765525,,0.0003615949955252619,0
2020-04-11,4,0,0,0,4,0,0,3.6159499552526194e-05,2765525,,0.0003615949955252619,0
2020-04-10,4,33.333333,0,0,4,0,0,3.6159499552526194e-05,2765525,,0.0003615949955252619,0
2020-04-09,3,50,0,0,3,0,0,2.7119624664394645e-05,3687367,,0.00027119624664394645,0
2020-04-08,2,0,0,0,2,0,0,1.8079749776263097e-05,5531050,,0.00018079749776263096,0
2020-04-07,2,100,0,0,2,0,0,1.8079749776263097e-05,5531050,,0.00018079749776263096,0
2020-04-06,1,0,0,0,1,0,0,9.039874888131548e-06,11062100,,9.039874888131548e-05,0
2020-04-05,1,,0,0,1,0,0,9.039874888131548e-06,11062100,,9.039874888131548e-05,0

