"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-01,7,16.666667,1,2,4,14.285714,28.571429,2.4003922926832615e-05,4165986,14580950,0.00024003922926832614,6.858263693380747e-05
2020-04-30,6,0,1,2,3,16.666667,33.333333,2.057479108014224e-05,4860317,14580950,0.0002057479108014224,6.858263693380747e-05
2020-04-29,6,500,1,0,5,16.666667,0,2.057479108014224e-05,4860317,,0.0002057479108014224,0
2020-04-28,1,0,1,0,0,100,0,3.4291318466903734e-06,29161900,,3.4291318466903735e-05,0
2020-04-27,1,0,1,0,0,100,0,3.4291318466903734e-06,29161900,,3.4291318466903735e-05,0
2020-04-26,1,0,1,0,0,100,0,3.4291318466903734e-06,29161900,,3.4291318466903735e-05,0
2020-04-25,1,0,1,0,0,100,0,3.4291318466903734e-06,29161900,,3.4291318466903735e-05,0
2020-04-24,1,0,1,0,0,100,0,3.4291318466903734e-06,29161900,,3.4291318466903735e-05,0
2020-04-23,1,0,0,0,1,0,0,3.4291318466903734e-06,29161900,,3.4291318466903735e-05,0
2020-04-22,1,0,0,0,1,0,0,3.4291318466903734e-06,29161900,,3.4291318466903735e-05,0
2020-04-21,1,0,0,0,1,0,0,3.4291318466903734e-06,29161900,,3.4291318466903735e-05,0
2020-04-20,1,0,0,0,1,0,0,3.4291318466903734e-06,29161900,,3.4291318466903735e-05,0
2020-04-19,1,0,0,0,1,0,0,3.4291318466903734e-06,29161900,,3.4291318466903735e-05,0
2020-04-18,1,0,0,0,1,0,0,3.4291318466903734e-06,29161900,,3.4291318466903735e-05,0
2020-04-17,1,0,0,0,1,0,0,3.4291318466903734e-06,29161900,,3.4291318466903735e-05,0
2020-04-16,1,0,0,0,1,0,0,3.4291318466903734e-06,29161900,,3.4291318466903735e-05,0
2020-04-15,1,0,0,0,1,0,0,3.4291318466903734e-06,29161900,,3.4291318466903735e-05,0
2020-04-14,1,0,0,0,1,0,0,3.4291318466903734e-06,29161900,,3.4291318466903735e-05,0
2020-04-13,1,0,0,0,1,0,0,3.4291318466903734e-06,29161900,,3.4291318466903735e-05,0
2020-04-12,1,0,0,0,1,0,0,3.4291318466903734e-06,29161900,,3.4291318466903735e-05,0
2020-04-11,1,0,0,0,1,0,0,3.4291318466903734e-06,29161900,,3.4291318466903735e-05,0
2020-04-10,1,,0,0,1,0,0,3.4291318466903734e-06,29161900,,3.4291318466903735e-05,0

