"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-20,99,8.791209,7,8,84,7.070707,8.080808,0.002005103900838498,49873,617175,0.02005103900838498,0.001620285980475554
2020-04-19,91,19.736842,7,8,76,7.692308,8.791209,0.0018430753027909425,54257,617175,0.018430753027909426,0.001620285980475554
2020-04-18,76,0,7,7,62,9.210526,9.210526,0.0015392716814517763,64966,705343,0.015392716814517763,0.0014177502329161097
2020-04-17,76,28.813559,7,7,62,9.210526,9.210526,0.0015392716814517763,64966,705343,0.015392716814517763,0.0014177502329161097
2020-04-16,59,0,4,6,49,6.779661,10.169492,0.001194960910600721,83685,822900,0.011949609106007212,0.0012152144853566655
2020-04-15,59,0,4,6,49,6.779661,10.169492,0.001194960910600721,83685,822900,0.011949609106007212,0.0012152144853566655
2020-04-14,59,0,4,6,49,6.779661,10.169492,0.001194960910600721,83685,822900,0.011949609106007212,0.0012152144853566655
2020-04-13,59,18,4,6,49,6.779661,10.169492,0.001194960910600721,83685,822900,0.011949609106007212,0.0012152144853566655
2020-04-12,50,4.166667,3,5,42,6,10,0.0010126787377972212,98748,987480,0.010126787377972212,0.0010126787377972212
2020-04-11,48,29.72973,3,5,40,6.25,10.416667,0.0009721715882853323,102863,987480,0.009721715882853324,0.0010126787377972212
2020-04-10,37,19.354839,3,5,29,8.108108,13.513514,0.0007493822659699437,133443,987480,0.007493822659699437,0.0010126787377972212
2020-04-09,31,0,3,4,24,9.677419,12.903226,0.0006278608174342771,159271,1234350,0.006278608174342772,0.000810142990237777
2020-04-08,31,121.428571,3,4,24,9.677419,12.903226,0.0006278608174342771,159271,1234350,0.006278608174342772,0.000810142990237777
2020-04-07,14,0,3,3,8,21.428571,21.428571,0.00028355004658322196,352671,1645800,0.0028355004658322195,0.0006076072426783327
2020-04-06,14,7.692308,3,3,8,21.428571,21.428571,0.00028355004658322196,352671,1645800,0.0028355004658322195,0.0006076072426783327
2020-04-05,13,30,3,3,7,23.076923,23.076923,0.0002632964718272775,379800,1645800,0.0026329647182727752,0.0006076072426783327
2020-04-04,10,42.857143,3,1,6,30,10,0.00020253574755944425,493740,4937400,0.0020253574755944425,0.00020253574755944425
2020-04-03,7,16.666667,0,0,7,0,0,0.00014177502329161098,705343,,0.0014177502329161097,0
2020-04-02,6,0,0,0,6,0,0,0.00012152144853566654,822900,,0.0012152144853566655,0
2020-04-01,6,100,0,0,6,0,0,0.00012152144853566654,822900,,0.0012152144853566655,0
2020-03-31,3,0,0,0,3,0,0,6.076072426783327e-05,1645800,,0.0006076072426783327,0
2020-03-30,3,0,0,0,3,0,0,6.076072426783327e-05,1645800,,0.0006076072426783327,0
2020-03-29,3,0,0,0,3,0,0,6.076072426783327e-05,1645800,,0.0006076072426783327,0
2020-03-28,3,0,0,0,3,0,0,6.076072426783327e-05,1645800,,0.0006076072426783327,0
2020-03-27,3,0,0,0,3,0,0,6.076072426783327e-05,1645800,,0.0006076072426783327,0
2020-03-26,3,0,0,0,3,0,0,6.076072426783327e-05,1645800,,0.0006076072426783327,0
2020-03-25,3,0,0,0,3,0,0,6.076072426783327e-05,1645800,,0.0006076072426783327,0
2020-03-24,3,0,0,0,3,0,0,6.076072426783327e-05,1645800,,0.0006076072426783327,0
2020-03-23,3,0,0,0,3,0,0,6.076072426783327e-05,1645800,,0.0006076072426783327,0
2020-03-22,3,0,0,0,3,0,0,6.076072426783327e-05,1645800,,0.0006076072426783327,0
2020-03-21,3,50,0,0,3,0,0,6.076072426783327e-05,1645800,,0.0006076072426783327,0
2020-03-20,2,0,0,0,2,0,0,4.050714951188885e-05,2468700,,0.0004050714951188885,0
2020-03-19,2,0,0,0,2,0,0,4.050714951188885e-05,2468700,,0.0004050714951188885,0
2020-03-18,2,100,0,0,2,0,0,4.050714951188885e-05,2468700,,0.0004050714951188885,0
2020-03-17,1,0,0,0,1,0,0,2.0253574755944424e-05,4937400,,0.00020253574755944425,0
2020-03-16,1,,0,0,1,0,0,2.0253574755944424e-05,4937400,,0.00020253574755944425,0

