"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-14,35903,3.133977,2569,1866,31468,7.155391,5.197337,0.6218268265199625,161,3094,6.218268265199624,0.3231843740874718
2020-05-13,34812,2.204868,2456,1809,30547,7.055038,5.196484,0.6029311056127046,166,3192,6.029311056127046,0.3133121825960538
2020-05-12,34061,2.061547,2394,1756,29911,7.028566,5.155456,0.5899240603319066,170,3288,5.899240603319066,0.3041327764724547
2020-05-11,33373,2.412005,2298,1683,29392,6.885806,5.042999,0.5780081520054231,173,3431,5.780081520054232,0.2914894435097615
2020-05-10,32587,3.339253,2293,1644,28650,7.036548,5.044957,0.5643949195277836,177,3512,5.643949195277837,0.2847347861735282
2020-05-09,31534,3.441037,2159,1614,27761,6.846578,5.118285,0.5461573447199536,183,3577,5.4615734471995365,0.2795388959148872
2020-05-08,30485,3.782256,2041,1560,26884,6.695096,5.117271,0.5279890484489055,189,3701,5.279890484489055,0.2701862934493333
2020-05-07,29374,4.299968,2029,1503,25842,6.907469,5.11677,0.5087469348577383,197,3842,5.0874693485773825,0.2603141019579154
2020-05-06,28163,3.857359,1903,1437,24823,6.757093,5.102439,0.487772857847024,205,4018,4.87772857847024,0.2488831433889051
2020-05-05,27117,2.684792,1810,1390,23917,6.67478,5.125936,0.46965652047856227,213,4154,4.696565204785623,0.24074291531703418
2020-05-04,26408,3.715341,1695,1317,23396,6.41851,4.987125,0.457376899833974,219,4384,4.57376899833974,0.22809958235434102
2020-05-03,25462,4.041188,1666,1281,22515,6.543084,5.031027,0.44099252588505927,227,4507,4.409925258850593,0.22186451404397178
2020-05-02,24473,4.264656,1590,1251,21632,6.496956,5.111756,0.4238634076657394,236,4615,4.238634076657394,0.21666862378533075
2020-05-01,23472,7.95695,1517,1080,20875,6.46302,4.601227,0.40652645383607383,246,5346,4.065264538360738,0.1870520493110769
2020-04-30,21742,4.283179,1432,1140,19170,6.586331,5.243308,0.37656348667791056,266,5065,3.7656348667791057,0.19744382982835895
2020-04-29,20849,3.659325,1361,1078,18410,6.527891,5.170512,0.3610970533413558,277,5356,3.610970533413558,0.1867056566271675
2020-04-28,20113,3.212398,1295,1016,17802,6.438622,5.051459,0.3483498025734898,287,5683,3.483498025734898,0.17596748342597607
2020-04-27,19487,4.875949,1263,945,17279,6.481244,4.849387,0.33750771156712556,296,6110,3.3750771156712553,0.1636705431471923
2020-04-26,18581,4.587414,1177,910,16494,6.334428,4.897476,0.32181612298602963,311,6345,3.2181612298602964,0.15760867117877778
2020-04-25,17766,6.92104,1165,875,15726,6.557469,4.925138,0.30770062111672153,325,6599,3.077006211167215,0.15154679921036324
2020-04-24,16616,5.585563,1108,798,14710,6.668272,4.8026,0.2877830417919309,347,7235,2.8778304179193093,0.13821068087985128
2020-04-23,15737,6.510998,1040,748,13949,6.608629,4.75313,0.2725590833341127,367,7719,2.725590833341127,0.12955086378211622
2020-04-22,14775,4.100613,981,698,13096,6.639594,4.724196,0.2558975952380705,391,8272,2.558975952380705,0.12089104668438119
2020-04-21,14193,3.719673,930,652,12611,6.552526,4.593814,0.2458175681363069,407,8856,2.4581756813630693,0.11292401495446495
2020-04-20,13684,6.51514,917,582,12185,6.701257,4.253142,0.23700187433081263,422,9921,2.3700187433081266,0.10080027101763589
2020-04-19,12847,4.226838,914,461,11472,7.114501,3.588386,0.22250534050920417,449,12524,2.2250534050920416,0.0798435136411171
2020-04-18,12326,6.515728,771,421,11134,6.255071,3.415544,0.21348181109336425,468,13714,2.134818110933643,0.07291565996292905
2020-04-17,11572,7.307122,736,334,10502,6.36018,2.886277,0.20042280690997982,499,17287,2.0042280690997982,0.057847578212870086
2020-04-16,10784,7.496013,736,319,9729,6.824926,2.958086,0.18677493516394938,535,18100,1.8677493516394938,0.05524963308354957
2020-04-15,10032,5.912162,607,311,9114,6.050638,3.10008,0.17375057024895588,576,18565,1.7375057024895588,0.05386406234791196
2020-04-14,9472,5.998209,607,302,8563,6.408361,3.188345,0.16405157509949264,610,19119,1.6405157509949264,0.05230529527031966
2020-04-13,8936,8.644377,603,262,8071,6.747986,2.931961,0.15476825117072068,646,22037,1.5476825117072068,0.04537744159213162
2020-04-12,8225,6.901482,456,236,7533,5.544073,2.869301,0.14245399125774144,702,24465,1.4245399125774145,0.0408743367013094
2020-04-11,7694,10.419059,0,206,7488,0,2.677411,0.13325726549994682,750,28028,1.3325726549994683,0.03567844644266838
2020-04-10,6968,12.65966,0,171,6797,0,2.454076,0.12068321107403555,829,33765,1.2068321107403555,0.029616574474253844
2020-04-09,6185,11.864713,0,138,6047,0,2.231205,0.10712193749898247,934,41839,1.0712193749898247,0.023901095189748717
2020-04-08,5529,26.492793,0,124,5405,0,2.24272,0.0957602574667541,1044,46563,0.957602574667541,0.021476346402382905
2020-04-07,4371,8.059333,0,103,4268,0,2.35644,0.07570412106839974,1321,56056,0.7570412106839974,0.01783922322133419
2020-04-06,4045,11.833011,0,91,3954,0,2.249691,0.0700579203206765,1427,63448,0.7005792032067649,0.01576086711787778
2020-04-05,3617,15.744,0,67,3550,0,1.852364,0.0626451168850153,1596,86176,0.626451168850153,0.011604154910964956
2020-04-04,3125,13.306744,0,54,3071,0,1.728,0.05412385686084401,1848,106922,0.5412385686084401,0.009352602465553845
2020-04-03,2758,18.318318,0,43,2715,0,1.559101,0.04776755111110649,2093,134274,0.47767551111106493,0.007447442704052136
2020-04-02,2331,17.371601,0,36,2295,0,1.544402,0.04037206730964077,2477,160383,0.4037206730964077,0.00623506831036923
2020-04-01,1986,19.638554,0,31,1955,0,1.560926,0.03439679351220359,2907,186251,0.3439679351220359,0.005369086600595726
2020-03-31,1660,17.480538,0,18,1642,0,1.084337,0.02875059276448034,3478,320766,0.2875059276448034,0.003117534155184615
2020-03-30,1413,14.043584,0,15,1398,0,1.061571,0.02447264311819923,4086,384920,0.2447264311819923,0.0025979451293205126
2020-03-29,1239,24.522613,0,10,1229,0,0.807103,0.021459026768187433,4660,577379,0.21459026768187434,0.0017319634195470085
2020-03-28,995,28.387097,0,5,990,0,0.502513,0.017233036024492734,5803,1154759,0.17233036024492734,0.0008659817097735042
2020-03-27,775,32.933105,0,5,770,0,0.645161,0.013422716501489315,7450,1154759,0.13422716501489315,0.0008659817097735042
2020-03-26,583,37.176471,0,4,579,0,0.686106,0.01009734673595906,9904,1443449,0.10097346735959059,0.0006927853678188034
2020-03-25,425,21.776504,0,4,421,0,0.941176,0.007360844533074786,13585,1443449,0.07360844533074785,0.0006927853678188034
2020-03-24,349,20.344828,0,4,345,0,1.146132,0.0060445523342190595,16544,1443449,0.060445523342190596,0.0006927853678188034
2020-03-23,290,18.852459,0,3,287,0,1.034483,0.005022693916686324,19910,1924598,0.050226939166863244,0.0005195890258641025
2020-03-22,244,26.42487,0,3,241,0,1.229508,0.0042259907436947,23663,1924598,0.042259907436947006,0.0005195890258641025
2020-03-21,193,29.530201,0,2,191,0,1.036269,0.0033426893997257263,29916,2886897,0.03342689399725726,0.0003463926839094017
2020-03-20,149,39.252336,0,1,148,0,0.671141,0.0025806254951250425,38750,5773794,0.025806254951250426,0.00017319634195470086
2020-03-19,107,25.882353,0,1,106,0,0.934579,0.001853200858915299,53961,5773794,0.01853200858915299,0.00017319634195470086
2020-03-18,85,41.666667,0,0,85,0,0,0.0014721689066149572,67927,,0.014721689066149572,0
2020-03-17,60,46.341463,3,0,57,5,0,0.001039178051728205,96230,,0.01039178051728205,0
2020-03-16,41,28.125,3,0,38,7.317073,0,0.0007101050020142735,140824,,0.007101050020142735,0
